Gender,Religion,Age,Food Preference,Parents Status,Relationship Status,Siblings,Position as Child,Employment Status,Socializing Skill ,"If today had a theme song, what genre would it be?  ",How would a close friend describe you right now?,What's the last fun thing you did?,How's your sleep been lately?,Free hour: How would you spend it?  ,How's your patience been lately,How supported do you feel?,Do you feel trapped in procrastination?,Is anything bothering you?,Do you fear criticism?,How would you react to criticism in your own world?,How was your performance in the last challenge you faced?,Is there anything you fear to loose?,A superpower you'd enjoy today,Are you grateful for anything?,How can I support you?,Do you feel like you are improving as a person?,Are you questioning your existence?,"Your screen time (consider a whole day, in hours)",App you used the most (based on the previous question),"Any addiction? If, specify","Are you diagnosed with any disorder? If, specify",Are you able to understand your feelings?,Magically solve one problem. What is it?,"Final, how much would you love if there was an app to identify and manage all these feelings?",Mood,Hour,DayOfWeek
Male,Atheist,19-25,Vegetarian,Married,Committed,2,Youngest Child,Student,1,R&B,Needs a hug,Something that made me really happy,4,Spend time with loved ones,5,5,No,A little stress,Yes,Revenge,Struggled hard,Yes,Time travel,Yes,Just listen,Yes,No,10,Social Media,Always calling with bunsie,,Yes,Money woes,5,Happy,0,6
Female,Atheist ,18-Oct,Vegetarian,Married,Committed,2,Oldest Child,Student,1,Lo-Fi,They're glowing,Something that made me really happy,4,Spend time with loved ones,2,5,Yes,A big problem,Yes,Will create a trauma,Struggled hard,Yes,Invisibility,Yes,Give space,Maybe,No,9.5 hours,Social Media,my boyfriend ,social phobia,No,Mental health,5,Happy,0,6
Male,Hinduism,19-25,Vegetarian,Married,Single,1,Youngest Child,Student,3,Heavy Metal,Off today,"Fun, but not fulfilling",2,Netflix/Chill,3,3,Yes,Nothing,No,Will create a trauma,Struggled hard,No,Invisibility,No,Give space,No,No,Good ,Games,No,No,No,Work/School stress,5,Depressed,11,6
Female,Hinduism,26-40,Vegetarian,Married,Married/Engaged,1,Oldest Child,Full-Time Employed,3,Spiritual,A little quiet,"Fun, but not fulfilling",3,Netflix/Chill,3,3,Sometimes,A little stress,Sometimes,Let it go,Nailed it,Yes,Mind reading,Yes,Just listen,Yes,Sometimes,4-Mar,Social Media,Social media for now,No,Sometimes,Mental health,5,Anxious,13,6
Male,Hinduism,19-25,Vegetarian,Married,Single,1,Oldest Child,Full-Time Employed,3,Lo-Fi,They're glowing,I don't remember,3,Netflix/Chill,3,3,No,Nothing,No,Let it go,Struggled hard,No,Time travel,No,Give space,Yes,No,9hrs,Games,No,No,Yes,Work/School stress,5,Depressed,13,6
Female,Hinduism,19-25,Vegetarian,Married,Committed,1,Youngest Child,Part-Time Employed,3,R&B,They're glowing,Something that made me really happy,5,Spend time with loved ones,2,5,Sometimes,A little stress,Sometimes,Let it go,Struggled hard,Yes,Time travel,Yes,Just listen,Yes,No,6,Expo,No,No,Sometimes,Money woes,5,Happy,13,6
Male,Hinduism,19-25,Non-Vegetarian,Married,Single,2,Middle Child,Full-Time Employed,5,Lo-Fi,Weâ€™re lucky to have someone as committed and talented as you .,Something that made me really happy,4,Spend time with loved ones,5,4,Sometimes,Nothing,No,Let it go,Nailed it,Yes,Control other's mind,Yes,Just listen,Yes,No,I spend my whole day with my friends ,Social Media,Money,no,Yes,Relationship thing,5,Happy,13,6
Male,Hinduism,19-25,Vegetarian,Married,Committed,1,Youngest Child,Student,2,R&B,They're glowing,Something that made me really happy,2,Netflix/Chill,4,4,Yes,Don't wanna talk,Sometimes,Let it go,Struggled hard,Yes,Time travel,Yes,Give space,Yes,Sometimes,6 to 7,Reading or Music,music if it counts ,no,Sometimes,Career,4,Happy,13,6
Male,Hinduism,19-25,Vegetarian,Married,Single,1,Youngest Child,Student,3,Spiritual,A little quiet,"Fun, but not fulfilling",5,Netflix/Chill,3,1,Sometimes,Don't wanna talk,Yes,Will work on it,Nailed it,Yes,Mind reading,Yes,,Yes,Sometimes,5,Reading or Music,,,Sometimes,,1,Happy,13,6
Female,Sikhism,19-25,Non-Vegetarian,Married,Committed,1,Youngest Child,Student,3,Pop,A little quiet,I don't remember,4,Netflix/Chill,3,3,Sometimes,A little stress,Sometimes,Will work on it,Nailed it,Yes,Time travel,Yes,Give space,Maybe,Sometimes,5-6 hours ,Social Media,,,Yes,Work/School stress,3,Happy,14,6
Male,Hinduism,19-25,Vegetarian,Married,Single,More than 2,Youngest Child,Student,3,Pop,A little quiet,Something that made me really happy,5,Spend time with loved ones,3,3,Yes,A little stress,No,Let it go,Struggled hard,Yes,Mind reading,Yes,Give space,Yes,Yes,7 hrs+,Social Media,No,No,Yes,Money woes,5,Happy,14,6
Male,Hinduism,19-25,Non-Vegetarian,Married,Single,1,Youngest Child,Full-Time Employed,4,Lo-Fi,Needs a hug,"Fun, but not fulfilling",4,Spend time with loved ones,4,3,Sometimes,A little stress,Sometimes,Will work on it,Struggled hard,Yes,Control other's mind,Yes,Just listen,Maybe,No,1 hour,Reading or Music,No,No,Sometimes,Money woes,4,Anxious,14,6
Male,Hinduism,19-25,Vegetarian,Married,Single,2,Oldest Child,Unemployed,5,Lo-Fi,A little quiet,I don't remember,4,Sleeping ðŸ˜ª,3,5,Yes,A big problem,No,Will create a trauma,,Yes,Time travel,Yes,Just listen,Maybe,Sometimes,,Social Media,No,No,Yes,,1,Depressed,14,6
Female,Hinduism,19-25,Non-Vegetarian,Only Mother alive,Single,1,Youngest Child,Student,3,Spiritual,Off today,I don't remember,4,Netflix/Chill,3,3,Yes,Don't wanna talk,Yes,Will work on it,Struggled hard,Yes,Invisibility,Yes,Give space,Maybe,Sometimes,3-4 hours,Social Media,No,No,Sometimes,,4,Depressed,14,6
Female,Hinduism,19-25,Vegetarian,Married,Committed,More than 2,Middle Child,Full-Time Employed,2,Spiritual,They're glowing,Something that made me really happy,4,Spend time with loved ones,3,1,Sometimes,Nothing,Sometimes,Let it go,Struggled hard,Yes,Invisibility,Maybe,Just listen,Yes,No,8 hour,Social Media,No,No,Yes,Mental health,1,Happy,14,6
Female,Hinduism,19-25,Non-Vegetarian,Married,Single,0,Oldest Child,Student,5,Lo-Fi,They're glowing,Something that made me really happy,4,Spend time with loved ones,3,4,Sometimes,A little stress,No,Let it go,Struggled hard,Yes,Invisibility,No,Just listen,Maybe,Yes,7,Social Media,No,Asthama ,Sometimes,Money woes,5,Happy,14,6
Female,Hinduism,18-Oct,Vegetarian,Married,Single,1,Oldest Child,Student,3,R&B,A little quiet,I don't remember,3,Netflix/Chill,2,2,Yes,Don't wanna talk,Sometimes,Will work on it,struggled a little but got over it,Yes,Time travel,Yes,,Maybe,Sometimes,8-9 hours or more,Social Media,,,Sometimes,,3,Happy,15,6
Female,Hinduism,19-25,Vegetarian,Married,Single,2,Youngest Child,Unemployed,4,Lo-Fi,A little quiet,I don't remember,3,Journal ,1,2,Sometimes,A big problem,Yes,Will work on it,Struggled hard,Yes,Invisibility,Yes,Just listen,Yes,No,6 hours ,Social Media,,No,Yes,Mental health,4,Happy,15,6
Male,Atheist,19-25,Non-Vegetarian,Married,Single,2,Oldest Child,Part-Time Employed,4,R&B,A little quiet,Played football,2,Listening Music and Reading Books.,5,4,Yes,A little stress,Sometimes,Will work on it,Nailed it,Yes,Time travel,Yes,Give space,Yes,No,3 hr,Social Media,Watching Football,No,Yes,Work/School stress,5,Happy,15,6
Female,Hinduism,19-25,Vegetarian,Married,Committed,2,Oldest Child,Unemployed,3,Spiritual,A little quiet,I don't remember,3,Spend time with loved ones,3,1,No,A little stress,No,Will create a trauma,Left it,Yes,Time travel,Maybe,Just listen,Yes,Sometimes,6-7 hr,Social Media,No,No,Yes,Mental health,3,Depressed,15,6
Male,Hinduism,19-25,Vegetarian,Married,Single,More than 2,Oldest Child,Unemployed,2,Lo-Fi,Off today,"Fun, but not fulfilling",3,Netflix/Chill,3,4,Yes,A little stress,No,Let it go,Struggled hard,Yes,Control other's mind,Yes,Just listen,Yes,Yes,10,Social Media,Social media ,No,No,Work/School stress,5,Happy,15,6
Female,Hinduism,19-25,Vegetarian,Married,Single,2,Oldest Child,Unemployed,4,Lo-Fi,Needs a hug,Something that made me really happy,5,Sleep ,3,5,Yes,Don't wanna talk,Yes,Will work on it,Nailed it,Yes,Time travel,Yes,Give space,Maybe,No,7-Jun,Social Media,No,No,Sometimes,Relationship thing,4,Happy,15,6
Male,Hinduism,19-25,Non-Vegetarian,Married,Single,0,Oldest Child,Student,2,Pop,Off today,I don't remember,4,Netflix/Chill,1,2,Yes,Don't wanna talk,Yes,Let it go,Struggled hard,Yes,Mind reading,Maybe,Give space,Yes,Sometimes,10 hrs,Social Media,Phone ,No ,Sometimes,Work/School stress,3,Happy,15,6
Female,Hinduism,19-25,Vegetarian,Married,Committed,1,Oldest Child,Part-Time Employed,1,Lo-Fi,A little quiet,"Fun, but not fulfilling",3,Netflix/Chill,2,3,Yes,A little stress,No,Will create a trauma,Struggled hard,Yes,Invisibility,Yes,Just listen,Yes,Yes,3-4 hrs,Social Media,No,No ,Sometimes,Relationship thing,5,Depressed,16,6
Male,Hinduism,19-25,Vegetarian,Married,Single,1,Oldest Child,Student,1,Lo-Fi,A little quiet,"Fun, but not fulfilling",3,Netflix/Chill,2,1,Yes,Don't wanna talk,Sometimes,Revenge,Struggled hard,Yes,Mind reading,Maybe,Give space,Maybe,Sometimes,8,Social Media,No,No ,Yes,Mental health,5,Anxious,17,6
Female,Hinduism,19-25,Vegetarian,Married,Married/Engaged,More than 2,Oldest Child,Unemployed,1,Lo-Fi,Needs a hug,Something that made me really happy,4,Spend time with loved ones,1,5,No,A little stress,No,Let it go,Left it,Yes,Time travel,Yes,Just listen,Yes,No,5 hour's ,Social Media,No,No,Sometimes,Money woes,5,Happy,17,6
Female,Hinduism,19-25,Vegetarian,Married,Single,1,Oldest Child,Full-Time Employed,3,Spiritual,They're glowing,Something that made me really happy,4,Netflix/Chill,5,3,No,Nothing,Sometimes,Let it go,Nailed it,Yes,Time travel,Yes,Give space,Yes,No,5hrs,Social Media,No,No,Sometimes,Money woes,3,Happy,18,6
Female,Hinduism,19-25,Vegetarian,Married,Single,2,Oldest Child,Student,3,Lo-Fi,A little quiet,I don't remember,5,Spend time with loved ones,3,1,Sometimes,A little stress,No,Will work on it,Didn't had any challenge recently,Yes,Mind reading,Yes,Just listen,Yes,Sometimes,6-8 hrs. ,Social Media,No,No,Yes,Relationship thing,4,Happy,20,6
Female,Hinduism,18-Oct,Vegetarian,Married,Single,0,Oldest Child,Student,1,Pop,A little quiet,I don't remember,2,Sitting slone in balcony ,1,1,Sometimes,Don't wanna talk,Sometimes,Revenge,Struggled hard,Yes,Mind reading,Yes,Just listen,Yes,Yes,1 hour /day ,Reading or Music,"Yee, instagram ",No,No,Work/School stress,3,Happy,20,6
Female,Sikhism,19-25,Vegetarian,Married,Single,1,Oldest Child,Full-Time Employed,1,Lo-Fi,They're glowing,"Fun, but not fulfilling",2,Cooking ,2,3,No,Don't wanna talk,Yes,Will create a trauma,Nailed it,Yes,Control other's mind,Maybe,Active help,Maybe,Yes,4 hours , Google browser for work , N/A,,Sometimes,Mental health,5,Happy,21,6
Female,Hinduism,19-25,Vegetarian,Married,Single,1,Oldest Child,Student,5,R&B,Needs a hug,"Fun, but not fulfilling",3,Netflix/Chill,5,4,Yes,A little stress,No,Will work on it,Struggled hard,No,Time travel,Yes,Just listen,Yes,No,3hrs,Reading or Music,Not yet,No,Yes,Money woes,5,Depressed,21,6
Female,Hinduism,26-40,Non-Vegetarian,Married,Single,2,Oldest Child,Full-Time Employed,4,Pop,A little quiet,I don't remember,3,Spend time with loved ones,3,4,No,A little stress,No,Revenge,Struggled hard,Yes,Time travel,Yes,Give space,No,No,6 hours,Social Media,No,No,Yes,Work/School stress,2,Depressed,23,6
Male,Hinduism,19-25,Vegetarian,Married,Single,1,Oldest Child,Business Owner,3,Pop,Off today,I don't remember,1,Netflix/Chill,2,1,No,Don't wanna talk,No,Let it go,Struggled hard,No,Mind reading,Maybe,Just listen,Yes,No,8hrs,canva,no,no,Yes,Work/School stress,5,Depressed,11,0
Male,Hinduism,41-60,Non-Vegetarian,Both passed,Married/Engaged,More than 2,Middle Child,Full-Time Employed,3,Pop,A little quiet,Something that made me really happy,3,Netflix/Chill,2,2,Sometimes,Don't wanna talk,Sometimes,Revenge,Struggled hard,Yes,Mind reading,Yes,Give space,No,Sometimes,12,,,,Yes,Work/School stress,4,Happy,16,0
